,review,sentiment
43109,"A group of evil businessmen need to knock down a building to build a huge complex, but they can't remove the tenants. The tenants and businessmen with their hired thugs clash until the film ends with one of the funniest fights ever! The guy with the ginger hair who goes 'eeeeehhhh' every time he throws a punch and the other guy who poses with a knife in his mouth instead of fighting, only to be beaten off camera, make this essential viewing if you like to laugh at films rather than with them.",positive
549,"Another Spanish movie about the 1936 Civil War. This time we're told about the story of Carol (lovely played by débutant Clara Lago), a little girl which comes to live to a little Spanish village from New York. It is such an initiating trip, and soon she'll find about the injustices of the human race, their stupid fights and conflicts, their contradictions.<br /><br />Imanol Uribe makes his best film since ""Días Contados"" (1994) with such a sober pulse, a beautiful photography, and a nice script. He tries not to take part in the conflict, he just shows us some facts and let us decide (ok, the facts are explicit enough to make us decide in which band are we in) and he takes a huge advantage of the presence and the freshness of the young starring couple: Clara Lago and Juan José Ballesta.<br /><br />A well cared production.<br /><br />My rate: 7/10",positive
10364,"Absolutely fantastic trash....this one has it all: nudity, good fight scenes, gore, action, explosions etc. It also stars the wonderful Belinda Mayne as Ingrid - not Olga as the other reviewer pointed out - although Olga turns into Ingrid later on in the film (you'll have to watch it to see what I mean).<br /><br />I won't bother to go into the story as it's far too long winded and not very interesting. The relationship between Ingrid and her brother Bo (Robert Ginty) is interesting - watch the towel stealing scene to see what I mean.<br /><br />The fight scenes were at once quite good and then spoilt by some really shoddy gore effects that looked like they were done by the team who did City of the Walking Dead (i.e. strange coloured blood gushing out of neck wounds).<br /><br />I'd advise fans of low budget trash to check it out if they can track down a copy - its pretty rare though and I couldn't ever see anyone bothering to re-release it so it'll become all the rarer in a few years.<br /><br />Anyway I'd recommend it solely for Belinda Mayne's great nude scenes! That lady's a fox!",positive
41510,"if you like gangster type of movies, then this is the first one you should buy or at least rent, Al Pacino his performance is top notch. and the story is classic!! 10 / 10 !!!! Why isn't this movie in the TOP 250 list??",positive
11489,"This movie looked like it was rushed to release for some reason. Definitely not a well made movie. So unbelievable. The scenes where the President (Holbrook) were downtown and walking among the people were a farce. There would not be a chance for the common folk to be within 30 yards of the President in that situation in real life. If it wasn't for the blood and profanity, this was shot like a TV movie. It could have been decent if it was done differently. Holbrook's (President) talents were never realized in this movie. Shatner's acting is okay. The production values in this movie leave a lot to be desired. Overall, I think most people would be better off not wasting time to watch this affair.",negative
37678,"Two Soldiers is an excellent example of fine film-making. The director and producer took a heart-warming story and brought it to life with a very skilled and dedicated cast, excellent cinematography, and very creative artistry.<br /><br />The relaxed back-woods lifestyle of the brothers was depicted with great details, and contrasted sharply with the militaristic lifestyle that they were thrust into. The interaction between the brothers brought laughter and tears, as they struggled with a hard but peaceful life in the back-woods of North Carolina and an even harder life of war.<br /><br />The acting was great, particularly from the younger brother who is new to the big screen (played by Jonathan Furr), to the older brother (played by Ben Allison) and the powerful performance by the Colonel (played by Ron Perlman). The performance was extremely well cast.<br /><br />It was a pleasure to enjoy the magic of Two Soldiers, and I heartily recommend it to audiences of all ages.",positive
47312,"BASEketball is indeed a really funny movie. David Zucker manages to make us all laugh our heads off again, in a really silly, but many times smart, comedy.<br /><br />The 2 creators of South Park, the main actors in this film, play very good, surprisingly good actually, but this is the first time i see them as actors. The movie oftenly reminded me of South Park - one of my fav shows.<br /><br />It's a really good and funny film, so don't miss it.<br /><br />Vote: 7.5 out of 10.",positive
29989,"There are many film now on DVD, but producers had forgotten some tittles of importance to many moviegoers. The Egyptian, along with El Cid and other favorites of the era of the wide screen, big budget epics had merit. Many people from my generation learn a lot about history of Egypt, medieval Spain and even the Incas, (The first time I heard from them was a very cheap adventure movie with Charlton Heston called The Treasure of the Incas), same happened to me with Egypt, or Rome seen many ""bad"" epics of the era. many production values, excellent use of color (The De Luxe color was more Brigit and sharp that the ordinary Technicolor), maybe the cast was wrong but in any case, the film did manèged to give us idea of the life in ancient Egyptin and was in a way the motor to go out and buy the novel, my Mika Waltari, one of the best, if not the best historical-novel ever published. Also oust anding was the superb score by Alfred Newman and Bernard Herrmann. I saw this film many times when I was a boy, it was not the big box office hit that Fox studios wanted to afther The Robe enormous hit, in CinemaScope and Stereo was a wonderful eye popping sp4ectacle. I have the Lasser Disc version.m the only way to see Ito its wdisescreen format. Soon i Hope will appeared.",positive
33109,"Three kids are born during a solar eclipse and turn into vile murderous little tykes who're above suspicion by everyone, save for Joyce (Lori Lethin) and her younger brother Timmy. That's the story in a nutshell. The acting in this one is tolerable for the most part. Notable for MTV-J Julie Brown (not the 'Downtown' one) showing some skin, and a very early part (albiet small) for Michael Dudikoff. Not a great film by any stretch of the imagination, but in the 'killer kids' sub-genre it's a bit of a guilty pleasure.<br /><br />Eye Candy: Julie Brown shows T&A (the only film thus far, to claim that honor); Sylvia Wright gets topless <br /><br />DVD Extras (R1): 16 minute interview with Producer Max Rosenberg (wherein he insults the director AND Canada, great stuff); Biography of Ed Hunt; and trailers for ""Kiss of the Taratula"", ""Don't open the Door"", & a red-band one for ""Homework"" (which features nudity) <br /><br />My Grade: B-",positive
25517,"I recently saw this at the 2007 Palm Springs International Film Festival where it ended up as one of the audience favorites. This is a spoof on the french cottage industry of OSS 117 films of the 50's and 60's. The first OSS 117 film based on the novel by Jean Bruce was brought to the screen in 1956, long before the first James Bond film, staring Ivan Desny as Hubert Bonisseur De La Bath and six subsequent action adventure spy films were made up to 1970 with Luc Merenda, Frederick Stafford, Kerwin Matthews and John Gaven all taking turns as Oss 117. Jean Dujardin is in the title role in this comedic take on the series. As the film begins set in 1945 he has a french mustache and resembles Desny but as the film begins it's setting of 1955 he really looks like Sean Connery. Jean François Halim wrote this hilarious screenplay of a spy sent to Egypt to investigate the murder of a friend. It borrows on the silliness of Naked Gun, Get Smart and the Pink Panther and uses fresh humor on current events in a delightful combination that international audiences will enjoy and I am sure this will be the only the first of more to come of a revived OSS 117 reworked to comedy adventures. Michel Hazanavicius directs. I would give this a 7.5 and recommend it.",positive
